coded_property_name,property_name
maximum_plant_height,culm_size
maximum_plant_height,culm_height
maximum_plant_height,culm_atypical_size
maximum_plant_height,culm_height_or_length
maximum_plant_height,culm_length
maximum_leaf_width,blade_size
maximum_leaf_width,blade_width
maximum_leaf_width,leaf_size
maximum_leaf_width,leaf_width
maximum_inflorescence_length,inflorescence_height_or_length
maximum_inflorescence_length,inflorescence_length
maximum_inflorescence_length,spike_length
maximum_inflorescence_length,inflorescence_size
maximum_inflorescence_width,inflorescence_width
maximum_inflorescence_width,spike_width
