,species_name,coded_property_name,collapsed_data
0,carex_aboriginum,maximum_leaf_width,4.5mm
1,carex_aboriginum,maximum_plant_height,80cm
2,carex_abrupta,maximum_inflorescence_length,2.2cm
3,carex_abrupta,maximum_inflorescence_width,9mm;18mm
4,carex_abrupta,maximum_leaf_width,3.7mm
5,carex_abrupta,maximum_plant_height,66cm
6,carex_abscondita,maximum_fruit_length,4mm
7,carex_abscondita,maximum_fruit_width,1.8mm
8,carex_abscondita,maximum_leaf_width,9mm
9,carex_abscondita,maximum_plant_height,30cm
10,carex_acidicola,maximum_fruit_length,3.3mm
11,carex_acidicola,maximum_fruit_width,1.8mm
12,carex_acidicola,maximum_inflorescence_length,36cm
13,carex_acidicola,maximum_leaf_width,4.3mm;5.5mm
14,carex_acidicola,maximum_plant_height,41cm
15,carex_acutiformis,maximum_inflorescence_length,35cm
16,carex_acutiformis,maximum_leaf_width,5.5mm;20mm;12mm
17,carex_acutiformis,maximum_plant_height,130cm
18,carex_adelostoma,maximum_leaf_width,3mm
19,carex_adelostoma,maximum_plant_height,35cm
20,carex_adusta,maximum_inflorescence_length,4.5cm
21,carex_adusta,maximum_inflorescence_width,20mm
22,carex_adusta,maximum_leaf_width,3.5mm
23,carex_adusta,maximum_plant_height,80cm
24,carex_aestivalis,maximum_fruit_length,2.1mm
25,carex_aestivalis,maximum_fruit_width,1mm
26,carex_aestivalis,maximum_leaf_width,3mm;2mm
27,carex_aggregata,maximum_fruit_length,2.1mm
28,carex_aggregata,maximum_fruit_width,1.8mm
29,carex_aggregata,maximum_inflorescence_length,2cm;5cm
30,carex_aggregata,maximum_inflorescence_width,13mm
31,carex_aggregata,maximum_plant_height,100cm
32,carex_alata,maximum_inflorescence_length,6.5cm
33,carex_alata,maximum_inflorescence_width,20mm
34,carex_alata,maximum_leaf_width,6mm
35,carex_alata,maximum_plant_height,140cm
36,carex_albicans,maximum_fruit_length,1.7mm
37,carex_albicans,maximum_fruit_width,1.3mm
38,carex_albicans,maximum_plant_height,45cm
39,carex_albida,maximum_inflorescence_length,
40,carex_albida,maximum_leaf_width,6mm
41,carex_albida,maximum_plant_height,60cm
42,carex_albolutescens,maximum_inflorescence_length,4cm
43,carex_albolutescens,maximum_inflorescence_width,12mm
44,carex_albolutescens,maximum_leaf_width,3.5mm
45,carex_albolutescens,maximum_plant_height,120cm
46,carex_albonigra,maximum_leaf_width,5mm
47,carex_albonigra,maximum_plant_height,30cm
48,carex_albursina,maximum_fruit_length,3.8mm
49,carex_albursina,maximum_fruit_width,1.8mm
50,carex_albursina,maximum_leaf_width,3.2mm;8.3mm;62mm;38mm
51,carex_albursina,maximum_plant_height,62cm
52,carex_alma,maximum_fruit_length,1.5mm
53,carex_alma,maximum_fruit_width,1.2mm
54,carex_alma,maximum_inflorescence_length,12cm
55,carex_alma,maximum_inflorescence_width,20mm
56,carex_alma,maximum_leaf_width,
57,carex_alma,maximum_plant_height,90cm
58,carex_alopecoidea,maximum_fruit_length,
59,carex_alopecoidea,maximum_fruit_width,
60,carex_alopecoidea,maximum_inflorescence_length,
61,carex_alopecoidea,maximum_leaf_width,
62,carex_alopecoidea,maximum_plant_height,80cm
63,carex_amphibola,maximum_fruit_length,0.7;2.8mm;0.67;3.4mm
64,carex_amphibola,maximum_fruit_width,1.5mm;1.8mm;1.7mm
65,carex_amphibola,maximum_leaf_width,4.4mm;7mm
66,carex_amphibola,maximum_plant_height,7.3cm;2.4cm;80cm
67,carex_amplectens,maximum_inflorescence_length,6.5cm
68,carex_amplectens,maximum_inflorescence_width,18mm
69,carex_amplectens,maximum_leaf_width,5mm
70,carex_amplectens,maximum_plant_height,90cm
71,carex_amplifolia,maximum_fruit_length,1.7mm
72,carex_amplifolia,maximum_fruit_width,1.3mm
73,carex_amplifolia,maximum_leaf_width,20mm
74,carex_amplifolia,maximum_plant_height,100cm
75,carex_angustata,maximum_leaf_width,7mm
76,carex_angustata,maximum_plant_height,110cm
77,carex_annectens,maximum_fruit_length,1.5mm
78,carex_annectens,maximum_fruit_width,1.2mm
79,carex_annectens,maximum_inflorescence_length,7cm
80,carex_annectens,maximum_inflorescence_width,
81,carex_annectens,maximum_leaf_width,
82,carex_annectens,maximum_plant_height,75cm
83,carex_anthoxanthea,maximum_leaf_width,2.5mm
84,carex_anthoxanthea,maximum_plant_height,40cm
85,carex_aperta,maximum_leaf_width,6mm
86,carex_aperta,maximum_plant_height,90cm
87,carex_appalachica,maximum_fruit_length,2mm
88,carex_appalachica,maximum_fruit_width,1.3mm
89,carex_appalachica,maximum_inflorescence_length,8cm
90,carex_appalachica,maximum_inflorescence_width,6.5mm
91,carex_appalachica,maximum_plant_height,60cm
92,carex_aquatilis,maximum_plant_height,150cm
93,carex_arapahoensis,maximum_inflorescence_length,2.5cm;2cm
94,carex_arapahoensis,maximum_inflorescence_width,12mm;18mm
95,carex_arapahoensis,maximum_leaf_width,3.2mm
96,carex_arapahoensis,maximum_plant_height,30cm
97,carex_arcta,maximum_inflorescence_length,4cm
98,carex_arcta,maximum_inflorescence_width,12mm
99,carex_arcta,maximum_leaf_width,4mm
100,carex_arcta,maximum_plant_height,80cm
101,carex_arctata,maximum_fruit_length,2.6mm
102,carex_arctata,maximum_fruit_width,1.7mm
103,carex_arctata,maximum_leaf_width,13mm;10mm;3mm
104,carex_arctiformis,maximum_fruit_length,
105,carex_arctiformis,maximum_fruit_width,1.25mm
106,carex_arctiformis,maximum_inflorescence_length,4cm;3cm
107,carex_arctiformis,maximum_inflorescence_width,14mm
108,carex_arctiformis,maximum_leaf_width,shorter;4mm
109,carex_arctiformis,maximum_plant_height,50cm
110,carex_arenaria,maximum_inflorescence_length,8cm
111,carex_arenaria,maximum_leaf_width,4mm
112,carex_arenaria,maximum_plant_height,60cm
113,carex_argyrantha,maximum_fruit_length,1.75mm
114,carex_argyrantha,maximum_fruit_width,1.2mm
115,carex_argyrantha,maximum_inflorescence_length,6.5cm
116,carex_argyrantha,maximum_inflorescence_width,17mm
117,carex_argyrantha,maximum_leaf_width,5mm
118,carex_argyrantha,maximum_plant_height,100cm
119,carex_arkansana,maximum_fruit_length,2mm
120,carex_arkansana,maximum_fruit_width,1.8mm
121,carex_arkansana,maximum_inflorescence_length,4cm
122,carex_arkansana,maximum_inflorescence_width,12mm
123,carex_arkansana,maximum_plant_height,60cm
124,carex_assiniboinensis,maximum_fruit_length,2.5mm
125,carex_assiniboinensis,maximum_fruit_width,1mm
126,carex_assiniboinensis,maximum_leaf_width,3mm;2.2mm
127,carex_atherodes,maximum_inflorescence_length,60cm
128,carex_atherodes,maximum_leaf_width,10mm
129,carex_atherodes,maximum_plant_height,125cm
130,carex_athrostachya,maximum_inflorescence_length,1.5cm;2.2cm
131,carex_athrostachya,maximum_inflorescence_width,20mm
132,carex_athrostachya,maximum_plant_height,80cm
133,carex_atlantica,maximum_fruit_length,1.9mm
134,carex_atlantica,maximum_fruit_width,1.7mm
135,carex_atlantica,maximum_inflorescence_length,5.5cm
136,carex_atlantica,maximum_leaf_width,4mm;4.5mm;4mm
137,carex_atlantica,maximum_plant_height,110cm
138,carex_atrata,maximum_leaf_width,5mm
139,carex_atrata,maximum_plant_height,40cm
140,carex_atratiformis,maximum_leaf_width,5mm
141,carex_atratiformis,maximum_plant_height,70cm
142,carex_atrofusca,maximum_fruit_length,1.6mm
143,carex_atrofusca,maximum_fruit_width,0.9mm
144,carex_atrofusca,maximum_inflorescence_length,6cm
145,carex_atrofusca,maximum_leaf_width,4mm
146,carex_atrofusca,maximum_plant_height,30cm
147,carex_atrosquama,maximum_leaf_width,5mm
148,carex_atrosquama,maximum_plant_height,50cm
149,carex_aurea,maximum_fruit_length,1.8mm
150,carex_aurea,maximum_fruit_width,1.5mm
151,carex_aurea,maximum_leaf_width,3mm
152,carex_aurea,maximum_plant_height,40cm
153,carex_aureolensis,maximum_leaf_width,8.5mm
154,carex_aureolensis,maximum_plant_height,85cm
155,carex_austrina,maximum_fruit_length,2.5mm
156,carex_austrina,maximum_fruit_width,2mm
157,carex_austrina,maximum_inflorescence_length,3.5cm
158,carex_austrina,maximum_inflorescence_width,15mm
159,carex_austrina,maximum_plant_height,90cm
160,carex_austrocaroliniana,maximum_fruit_length,2mm
161,carex_austrocaroliniana,maximum_fruit_width,2mm
162,carex_austrocaroliniana,maximum_leaf_width,6mm
163,carex_austrocaroliniana,maximum_plant_height,51cm
164,carex_backii,maximum_fruit_length,3.2mm
165,carex_backii,maximum_fruit_width,2.3mm
166,carex_backii,maximum_leaf_width,5.4mm
167,carex_backii,maximum_plant_height,25cm
168,carex_baileyi,maximum_inflorescence_length,16cm
