,property_name,from,to,species_name,file_name
0,culm_arrangement_or_pubescence,,,carex_albursina,../../data/external/FNAV23/V23_807.xml
1,culm_position,,,carex_albursina,../../data/external/FNAV23/V23_807.xml
2,culm_orientation,,,carex_albursina,../../data/external/FNAV23/V23_807.xml
3,culm_architecture_or_arrangement,,,carex_albursina,../../data/external/FNAV23/V23_807.xml
4,culm_growth_form_or_orientation,,,carex_albursina,../../data/external/FNAV23/V23_807.xml
5,culm_architecture,,,carex_albursina,../../data/external/FNAV23/V23_807.xml
6,culm_length,10cm,62cm,carex_albursina,../../data/external/FNAV23/V23_807.xml
7,culm_width,2mm,2.4mm,carex_albursina,../../data/external/FNAV23/V23_807.xml
8,sheath_coloration,light-brown,brown,carex_albursina,../../data/external/FNAV23/V23_807.xml
9,sheath_coloration,,,carex_albursina,../../data/external/FNAV23/V23_807.xml
10,sheath_coloration,,,carex_albursina,../../data/external/FNAV23/V23_807.xml
11,sheath_size,,,carex_albursina,../../data/external/FNAV23/V23_807.xml
12,sheath_shape,,,carex_albursina,../../data/external/FNAV23/V23_807.xml
13,sheath_some_measurement,2mm,15mm,carex_albursina,../../data/external/FNAV23/V23_807.xml
14,blade_orientation,,,carex_albursina,../../data/external/FNAV23/V23_807.xml
15,midrib_development,,,carex_albursina,../../data/external/FNAV23/V23_807.xml
16,midrib_quantity,,,carex_albursina,../../data/external/FNAV23/V23_807.xml
17,lateral-vein_prominence,,,carex_albursina,../../data/external/FNAV23/V23_807.xml
18,lateral-vein_prominence_or_shape,,,carex_albursina,../../data/external/FNAV23/V23_807.xml
19,lateral-vein_width,,,carex_albursina,../../data/external/FNAV23/V23_807.xml
20,lateral-vein_length,10cm,35cm,carex_albursina,../../data/external/FNAV23/V23_807.xml
21,lateral-vein_width,10mm,38mm,carex_albursina,../../data/external/FNAV23/V23_807.xml
22,leaf_width,38mm,62mm,carex_albursina,../../data/external/FNAV23/V23_807.xml
23,leaf_width,13mm,38mm,carex_albursina,../../data/external/FNAV23/V23_807.xml
24,blade_architecture_or_pubescence_or_relief,,,carex_albursina,../../data/external/FNAV23/V23_807.xml
25,leaf_duration,,,carex_albursina,../../data/external/FNAV23/V23_807.xml
26,peduncle_some_measurement,0cm,5.8cm,carex_albursina,../../data/external/FNAV23/V23_807.xml
27,spike_presence,,,carex_albursina,../../data/external/FNAV23/V23_807.xml
28,bract_length,1.4cm,2.6cm,carex_albursina,../../data/external/FNAV23/V23_807.xml
29,bract_atypical_width,2.2mm,3.2mm,carex_albursina,../../data/external/FNAV23/V23_807.xml
30,bract_width,3.9mm,2.2mm,carex_albursina,../../data/external/FNAV23/V23_807.xml
