,species_name,coded_property_name,collapsed_data_minimum,collapsed_data_maximum,collapsed_data_value
0,amphiscirpus_nevadensis,fruit_length,2mm,2.3mm,
1,amphiscirpus_nevadensis,fruit_width,1.5mm,1.7mm,
2,amphiscirpus_nevadensis,leaf_width,0.5mm,2mm,
3,amphiscirpus_nevadensis,plant_height,10cm,70cm,
4,blysmopsis_rufa,fruit_length,4mm,5mm,
5,blysmopsis_rufa,fruit_width,1.3mm;1mm,1.7mm;1.3mm,
6,blysmopsis_rufa,leaf_width,1.5mm,4mm,
7,blysmopsis_rufa,plant_height,10cm,45cm,
8,carex_aboriginum,branch_quantity,1,3,
9,carex_aboriginum,leaf_width,3mm,4.5mm,
10,carex_aboriginum,plant_height,55cm,80cm,
11,carex_abrupta,inflorescence_length,1.2cm,2.2cm,
12,carex_abrupta,inflorescence_width,6mm;9mm,9mm;18mm,
13,carex_abrupta,leaf_width,3.7mm;1.5mm,4.9mm;3.7mm,
14,carex_abrupta,plant_height,18cm,66cm,
15,carex_abscondita,fruit_length,2.6mm,4mm,
16,carex_abscondita,fruit_width,1.2mm,1.8mm,
17,carex_abscondita,leaf_width,3mm,9mm,
18,carex_abscondita,plant_height,7cm,30cm,
19,carex_acidicola,branch_quantity,0.68,0.95,
20,carex_acidicola,fruit_length,3.1mm,3.3mm,
21,carex_acidicola,fruit_width,1.5mm,1.8mm,
22,carex_acidicola,inflorescence_length,8.8cm,36cm,
23,carex_acidicola,leaf_width,3.7mm;4.3mm,4.3mm;5.5mm,
24,carex_acidicola,plant_height,11cm,41cm,
25,carex_acutiformis,branch_quantity,2,5,
26,carex_acutiformis,inflorescence_length,15cm,35cm,
27,carex_acutiformis,leaf_width,4.5mm;12mm;5.5mm,5.5mm;20mm;12mm,
28,carex_acutiformis,plant_height,55cm,130cm,
29,carex_adelostoma,branch_quantity,2,3,
30,carex_adelostoma,leaf_width,2mm,3mm,
31,carex_adelostoma,plant_height,20cm,35cm,
32,carex_adusta,inflorescence_length,2cm,4.5cm,
33,carex_adusta,inflorescence_width,12mm,20mm,
34,carex_adusta,leaf_width,2mm,3.5mm,
35,carex_adusta,plant_height,25cm,80cm,
36,carex_aestivalis,fruit_length,1.8mm,2.1mm,
37,carex_aestivalis,fruit_width,0.8mm,1mm,
38,carex_aestivalis,leaf_width,1.5mm;1mm,3mm;2mm,thick
39,carex_aestivalis,plant_height,25cm,60cm,
40,carex_aggregata,fruit_length,1.8mm,2.1mm,
41,carex_aggregata,fruit_width,1.6mm,1.8mm,
42,carex_aggregata,inflorescence_length,1.5cm;2cm,2cm;5cm,
43,carex_aggregata,inflorescence_width,8mm,13mm,
44,carex_aggregata,leaf_width,3.5mm,5mm,
45,carex_aggregata,plant_height,20cm;20cm;30cm,30cm;30cm;100cm,
46,carex_alata,inflorescence_length,2cm,6.5cm,
47,carex_alata,inflorescence_width,7mm,20mm,
48,carex_alata,leaf_width,2.5mm,6mm,
49,carex_alata,plant_height,30cm,140cm,
50,carex_albicans,fruit_length,1.2mm,1.7mm,
