,property_name,from,to,species_name,file_name,property_constraint,value
0,rhizome_thickness,3mm,5mm,dulichium_arundinaceum,../../data/external/FNAV23/V23_350.xml,,
1,culm_length,20cm,100cm,dulichium_arundinaceum,../../data/external/FNAV23/V23_350.xml,,
2,culm_width,2mm,5mm,dulichium_arundinaceum,../../data/external/FNAV23/V23_350.xml,,
3,leaf-blade_width,3.5mm,8mm,dulichium_arundinaceum,../../data/external/FNAV23/V23_350.xml,,
4,spike_atypical_quantity,3,5,dulichium_arundinaceum,../../data/external/FNAV23/V23_350.xml,,
5,spike_quantity,1,3,dulichium_arundinaceum,../../data/external/FNAV23/V23_350.xml,,
6,spikelet_quantity,5,20,dulichium_arundinaceum,../../data/external/FNAV23/V23_350.xml,,
7,anther_some_measurement,3mm,4mm,dulichium_arundinaceum,../../data/external/FNAV23/V23_350.xml,,
0,whole_organism_arrangement,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,aggregated
1,whole_organism_growth_form,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,plant
2,tussock_density,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,dense
3,rhizome_architecture,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,branching
4,rhizome_height_or_length_or_size,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,short
5,rhizome_fragility,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,tough
6,rhizome_texture,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,fibrous
7,culm_reproduction,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,fertile
8,culm_orientation,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,upright
9,culm_orientation,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,nearly
10,leaf_quantity,4,7,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,
11,sheath_coloration,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,leaf,brown
12,sheath_prominence,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,proximal,conspicuous
13,sheath_prominence,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,proximal,inconspicuous
14,blade_prominence,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,proximal,conspicuous
15,blade_prominence,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,proximal,inconspicuous
16,septum_quantity,few,many,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,
17,blade_length,25cm,63cm,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,
18,blade_width,3mm,6mm,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,
19,inflorescence_position_or_structure_subtype,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,terminal
20,ray_orientation,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,ascending
21,ray_orientation,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,spreading
22,ray_pubescence_or_relief,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,scabrous
23,branch_architecture_or_pubescence_or_relief,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,main,smooth
24,base_coloration,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,involucral-bract,blackish
25,base_coating,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,involucral-bract,glutinous
26,cyme_architecture,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,open
27,spikelet_architecture,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,central,sessile
28,other_architecture,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,pedicellate
29,spikelet_shape,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,ovoid
30,spikelet_shape,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,ellipsoid
31,spikelet_length,4mm,7mm,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,
32,spikelet_width,2mm,2.7mm,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,
33,scale_coloration,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,blackish
34,scale_shape,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,oblongelliptic
35,scale_some_measurement,1.3mm,1.8mm,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,
36,apex_shape,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,rounded
37,apex_architecture_or_shape,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,apiculate
38,apiculu_some_measurement,0mm,0.05mm,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,
39,bristle_duration,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,perianth,persistent
40,bristle_quantity,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,perianth,6
41,bristle_size,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,perianth,slender
42,bristle_arrangement_or_shape,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,perianth,contorted
43,bristle_length_or_size,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,perianth,much longer
44,bristle_architecture_or_pubescence_or_relief,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,perianth,smooth
45,bristle_orientation,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,perianth,projecting
46,inflorescence_life_cycle,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,mature
47,inflorescence_pubescence,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,woolly
48,style_shape,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,3-fid
49,achene_coloration,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,whitish
50,achene_shape,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,elliptic
51,achene_shape,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,obovate
52,achene_shape,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,trigonous
53,achene_shape,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,planoconvex
54,achene_length,0.7mm,0.9mm,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,
55,achene_width,0.4mm,0.5mm,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,,
56,chromosome_quantity,,,scirpus_atrocinctus,../../data/external/FNAV23/V23_18.xml,2n,68
0,culm_arrangement_or_pubescence,,,carex_albursina,../../data/external/FNAV23/V23_807.xml,,tufted
1,culm_position,,,carex_albursina,../../data/external/FNAV23/V23_807.xml,,lateral
2,culm_orientation,,,carex_albursina,../../data/external/FNAV23/V23_807.xml,,ascending
3,culm_architecture_or_arrangement,,,carex_albursina,../../data/external/FNAV23/V23_807.xml,,lax
4,culm_growth_form_or_orientation,,,carex_albursina,../../data/external/FNAV23/V23_807.xml,,decumbent
5,culm_architecture,,,carex_albursina,../../data/external/FNAV23/V23_807.xml,,winged
6,culm_length,10cm,62cm,carex_albursina,../../data/external/FNAV23/V23_807.xml,,
7,culm_width,2mm,2.4mm,carex_albursina,../../data/external/FNAV23/V23_807.xml,,
8,sheath_coloration,light-brown,brown,carex_albursina,../../data/external/FNAV23/V23_807.xml,basal,
9,sheath_coloration,,,carex_albursina,../../data/external/FNAV23/V23_807.xml,proximal,wine-red
10,sheath_coloration,,,carex_albursina,../../data/external/FNAV23/V23_807.xml,proximal,purple
11,sheath_size,,,carex_albursina,../../data/external/FNAV23/V23_807.xml,proximal,small
12,sheath_shape,,,carex_albursina,../../data/external/FNAV23/V23_807.xml,proximal,triangular
13,sheath_some_measurement,2mm,15mm,carex_albursina,../../data/external/FNAV23/V23_807.xml,,
14,blade_orientation,,,carex_albursina,../../data/external/FNAV23/V23_807.xml,,ascending
15,midrib_development,,,carex_albursina,../../data/external/FNAV23/V23_807.xml,,developed
16,midrib_quantity,,,carex_albursina,../../data/external/FNAV23/V23_807.xml,,2
17,lateral-vein_prominence,,,carex_albursina,../../data/external/FNAV23/V23_807.xml,,conspicuous
18,lateral-vein_prominence_or_shape,,,carex_albursina,../../data/external/FNAV23/V23_807.xml,,flat
19,lateral-vein_width,,,carex_albursina,../../data/external/FNAV23/V23_807.xml,,thin
20,lateral-vein_length,10cm,35cm,carex_albursina,../../data/external/FNAV23/V23_807.xml,,
21,lateral-vein_width,10mm,38mm,carex_albursina,../../data/external/FNAV23/V23_807.xml,,
22,leaf_width,38mm,62mm,carex_albursina,../../data/external/FNAV23/V23_807.xml,widest,
23,leaf_width,13mm,38mm,carex_albursina,../../data/external/FNAV23/V23_807.xml,widest,
24,blade_architecture_or_pubescence_or_relief,,,carex_albursina,../../data/external/FNAV23/V23_807.xml,,smooth
25,leaf_duration,,,carex_albursina,../../data/external/FNAV23/V23_807.xml,,overwintering
26,peduncle_some_measurement,0cm,5.8cm,carex_albursina,../../data/external/FNAV23/V23_807.xml,,
27,spike_presence,,,carex_albursina,../../data/external/FNAV23/V23_807.xml,terminal,absent
28,bract_length,1.4cm,2.6cm,carex_albursina,../../data/external/FNAV23/V23_807.xml,,
