,property_name,species_name,coded_property_name,property_constraint,from,to,value,atypical
0,achene_atypical_length,eriophorum_brachyantherum,fruit_length,,1.8mm,2mm,,atypical
1,achene_atypical_length,eriophorum_brachyantherum,fruit_length,,2.3mm,2.7mm,,atypical
2,achene_atypical_length,carex_lonchocarpa,fruit_length,,3.4mm,3.8mm,,atypical
3,achene_atypical_length,carex_inops,fruit_length,,1.4mm,1.6mm,,atypical
4,achene_atypical_length,carex_heleonastes,fruit_length,,1.5mm,2mm,,atypical
5,achene_atypical_length,carex_californica,fruit_length,,2mm,2.3mm,,atypical
6,achene_atypical_length,carex_folliculata,fruit_length,,3.2mm,3.4mm,,atypical
7,achene_atypical_length,carex_folliculata,fruit_length,,4mm,4.5mm,,atypical
8,achene_atypical_length,carex_elynoides,fruit_length,,2.7mm,3mm,,atypical
9,achene_atypical_length,carex_filifolia_var_filifolia,fruit_length,,3mm,3.3mm,,atypical
10,achene_atypical_length,carex_oreocharis,fruit_length,,2.6mm,3mm,,atypical
11,achene_atypical_length,carex_corrugata,fruit_length,,0.6,0.65,,atypical
12,achene_atypical_length,carex_corrugata,fruit_length,,2.4mm,2.8mm,,atypical
13,achene_atypical_length,carex_corrugata,fruit_length,,3.1mm,3.3mm,,atypical
14,achene_atypical_length,scirpus_atrovirens,fruit_length,,0.8mm,1mm,,atypical
15,achene_atypical_length,carex_superata,fruit_length,,2.1mm,2.5mm,,atypical
16,achene_atypical_length,carex_superata,fruit_length,,3.1mm,3.3mm,,atypical
17,achene_atypical_length,scirpus_hattorianus,fruit_length,,0.6mm,0.7mm,,atypical
18,achene_atypical_length,carex_grisea,fruit_length,,0.66,0.7,,atypical
19,achene_atypical_length,carex_grisea,fruit_length,,2.6mm,3.1mm,,atypical
20,achene_atypical_length,carex_grisea,fruit_length,,3.5mm,3.7mm,,atypical
21,achene_atypical_length,carex_amphibola,fruit_length,,0.67,0.7,,atypical
22,achene_atypical_length,carex_amphibola,fruit_length,,2.6mm,2.8mm,,atypical
23,achene_atypical_length,carex_hirsutella,fruit_length,,2.1mm,2.6mm,,atypical
24,achene_atypical_length,carex_willdenowii,fruit_length,,1.8mm,2.1mm,,atypical
25,achene_atypical_length,carex_willdenowii,fruit_length,,2.5mm,2.6mm,,atypical
26,achene_atypical_length,carex_basiantha,fruit_length,,2.4mm,2.6mm,,atypical
27,achene_atypical_length,carex_basiantha,fruit_length,,3mm,3.4mm,,atypical
28,achene_atypical_length,carex_godfreyi,fruit_length,,3mm,3.1mm,,atypical
29,achene_atypical_length,carex_godfreyi,fruit_length,,3.5mm,3.7mm,,atypical
30,achene_atypical_length,trichophorum_pumilum,fruit_length,,1.2mm,1.4mm,,atypical
31,achene_atypical_length,carex_brysonii,fruit_length,,2.5mm,2.7mm,,atypical
32,achene_atypical_length,scirpus_polyphyllus,fruit_length,,1.4mm,1.8mm,,atypical
33,achene_atypical_length,carex_hitchcockiana,fruit_length,,3.9mm,4.2mm,,atypical
34,achene_atypical_length,carex_laxiflora,fruit_length,,2.2mm,3.4mm,,atypical
35,achene_atypical_length,carex_leptopoda,fruit_length,,1.8mm,1.9mm,,atypical
36,achene_atypical_length,carex_striatula,fruit_length,,2.8mm,4.6mm,,atypical
37,achene_atypical_length,carex_gholsonii,fruit_length,,2.5mm,2.7mm,,atypical
38,achene_atypical_width,carex_pensylvanica,fruit_width,,1.4mm,1.6mm,,atypical
39,achene_atypical_width,blysmopsis_rufa,fruit_width,,1.3mm,1.7mm,,atypical
40,achene_atypical_width,carex_tetanica,fruit_width,,1.6mm,1.8mm,,atypical
41,achene_atypical_width,carex_meadii,fruit_width,,2.2mm,2.5mm,,atypical
42,achene_atypical_width,carex_tenuiflora,fruit_width,,1.25mm,1.5mm,,atypical
43,achene_atypical_width,carex_trisperma,fruit_width,,1.25mm,1.5mm,,atypical
44,achene_atypical_width,carex_elynoides,fruit_width,,1mm,1.2mm,,atypical
45,achene_atypical_width,carex_filifolia_var_erostrata,fruit_width,,1.1mm,1.3mm,,atypical
46,achene_atypical_width,carex_lativena,fruit_width,,1.1mm,1.4mm,,atypical
47,achene_atypical_width,carex_corrugata,fruit_width,,1.6mm,1.7mm,,atypical
48,achene_atypical_width,carex_corrugata,fruit_width,,1.9mm,2mm,,atypical
49,achene_atypical_width,carex_superata,fruit_width,,1.4mm,1.5mm,,atypical
50,achene_atypical_width,carex_superata,fruit_width,,1.9mm,2.1mm,,atypical
51,achene_atypical_width,carex_grisea,fruit_width,,2.1mm,2.2mm,,atypical
52,achene_atypical_width,carex_amphibola,fruit_width,,1.3mm,1.5mm,,atypical
53,achene_atypical_width,carex_amphibola,fruit_width,,1.7mm,1.8mm,,atypical
54,achene_atypical_width,carex_willdenowii,fruit_width,,1.2mm,1.3mm,,atypical
55,achene_atypical_width,carex_willdenowii,fruit_width,,1.5mm,1.6mm,,atypical
56,achene_atypical_width,carex_basiantha,fruit_width,,1.3mm,1.5mm,,atypical
57,achene_atypical_width,carex_basiantha,fruit_width,,1.7mm,1.9mm,,atypical
58,achene_atypical_width,carex_conoidea,fruit_width,,1mm,1.2mm,,atypical
59,achene_atypical_width,carex_bushii,fruit_width,,1.1mm,1.4mm,,atypical
60,achene_atypical_width,carex_pigra,fruit_width,,1.3mm,1.4mm,,atypical
61,achene_atypical_width,carex_flaccosperma,fruit_width,,1.3mm,1.4mm,,atypical
62,achene_atypical_width,carex_flaccosperma,fruit_width,,1.6mm,1.7mm,,atypical
63,achene_atypical_width,carex_glaucodea,fruit_width,,1.6mm,1.7mm,,atypical
64,achene_atypical_width,carex_brysonii,fruit_width,,1.6mm,1.7mm,,atypical
65,achene_atypical_width,carex_hitchcockiana,fruit_width,,1.6mm,1.8mm,,atypical
