,property_name,from,to,species_name,file_name
0,rhizome_internal_texture,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
1,rhizome_internal_texture,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
2,culm_size,20cm,40cm,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
3,culm_height,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
4,culm_external_texture,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
5,sheath_coloration,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
6,sheath_dehiscence,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
7,blade_arrangement_or_shape,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
8,blade_width,7mm,10mm,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
9,apex_shape,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
10,bract_architecture_or_feature_or_shape,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
11,spike_count,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
12,spike_count,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
13,spike_arrangement,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
14,spike_feature_or_reproduction,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
15,spike_shape,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
16,spike_length,3cm,4.5cm,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
17,spike_width,0.3cm,0.4cm,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
18,spike_architecture,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
19,spike_feature_or_reproduction,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
20,spike_feature_or_reproduction,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
21,spike_length,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
22,spike_shape,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
23,spike_size,2.5cm,4.3cm,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
24,spike_architecture,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
25,peduncle_architecture_or_external_texture_or_relief,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
26,glume_coloration,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
27,glume_shape,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
28,margin_coloration,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
29,margin_coloration,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
30,margin_architecture_or_feature,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
31,margin_architecture,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
32,utricle_coloration,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml
