,species_name,coded_property_name,collapsed_data
0,Carex_adrienii,maximum_inflorescence_length,10mm
1,Carex_adrienii,maximum_inflorescence_width,2.5mm
2,Carex_adrienii,maximum_leaf_width,3cm
3,Carex_adrienii,maximum_plant_height,50cm
4,Carex_aequialta,maximum_leaf_width,4mm
5,Carex_aequialta,maximum_plant_height,60cm
6,Carex_agglomerata,maximum_leaf_width,6mm
7,Carex_agglomerata,maximum_plant_height,60cm
8,Carex_alajica,maximum_leaf_width,2.5mm
9,Carex_alajica,maximum_plant_height,25cm
10,Carex_alba,maximum_leaf_width,
11,Carex_alba,maximum_plant_height,30cm
12,Carex_alliiformis,maximum_leaf_width,14mm
13,Carex_alliiformis,maximum_plant_height,45cm
14,Carex_alopecuroides,maximum_leaf_width,4mm
15,Carex_alopecuroides,maximum_plant_height,60cm
16,Carex_alta,maximum_inflorescence_length,12mm
17,Carex_alta,maximum_inflorescence_width,
18,Carex_alta,maximum_leaf_width,3mm
19,Carex_alta,maximum_plant_height,80cm
20,Carex_altaica,maximum_inflorescence_length,15mm
21,Carex_altaica,maximum_inflorescence_width,6mm
22,Carex_altaica,maximum_leaf_width,4mm
23,Carex_altaica,maximum_plant_height,30cm;1.5mm
24,Carex_amgunensis,maximum_leaf_width,2mm
25,Carex_amgunensis,maximum_plant_height,35cm
26,Carex_angarae,maximum_leaf_width,3mm
27,Carex_angarae,maximum_plant_height,60cm
28,Carex_angustiutricula,maximum_leaf_width,6mm
29,Carex_angustiutricula,maximum_plant_height,35cm
30,Carex_anningensis,maximum_inflorescence_length,1/2
31,Carex_anningensis,maximum_inflorescence_width,
32,Carex_anningensis,maximum_leaf_width,
33,Carex_anningensis,maximum_plant_height,30cm
34,Carex_anomoea,maximum_leaf_width,
35,Carex_anomoea,maximum_plant_height,55cm
36,Carex_aperta,maximum_leaf_width,
37,Carex_aperta,maximum_plant_height,70cm
38,Carex_aphanolepis,maximum_inflorescence_width,
39,Carex_aphanolepis,maximum_leaf_width,8mm
40,Carex_aphanolepis,maximum_plant_height,30cm
41,Carex_appendiculata,maximum_inflorescence_length,30mm
42,Carex_appendiculata,maximum_inflorescence_width,4mm
43,Carex_appendiculata,maximum_leaf_width,
44,Carex_appendiculata,maximum_plant_height,75cm
45,Carex_arcatica,maximum_inflorescence_length,30mm
46,Carex_arcatica,maximum_inflorescence_width,6mm
47,Carex_arcatica,maximum_leaf_width,3mm
48,Carex_arcatica,maximum_plant_height,50cm
49,Carex_argunensis,maximum_inflorescence_length,2cm
50,Carex_argunensis,maximum_inflorescence_width,
51,Carex_argunensis,maximum_leaf_width,3mm
52,Carex_argunensis,maximum_plant_height,25cm
53,Carex_argyi,maximum_inflorescence_length,5cm
54,Carex_argyi,maximum_inflorescence_width,1cm
55,Carex_argyi,maximum_leaf_width,4mm
56,Carex_argyi,maximum_plant_height,60cm
57,Carex_aridula,maximum_leaf_width,1.5mm
58,Carex_aridula,maximum_plant_height,20cm
59,Carex_arisanensis,maximum_leaf_width,8mm;8mm;18mm
60,Carex_arisanensis,maximum_plant_height,40cm
61,Carex_aristatisquamata,maximum_inflorescence_length,3cm
62,Carex_aristatisquamata,maximum_inflorescence_width,5mm
63,Carex_aristatisquamata,maximum_leaf_width,
64,Carex_aristatisquamata,maximum_plant_height,45cm
65,Carex_aristulifera,maximum_inflorescence_length,20mm
66,Carex_aristulifera,maximum_inflorescence_width,
67,Carex_aristulifera,maximum_leaf_width,2mm
68,Carex_aristulifera,maximum_plant_height,30cm
69,Carex_arnellii,maximum_leaf_width,4mm
70,Carex_arnellii,maximum_plant_height,90cm
71,Carex_ascotreta,maximum_inflorescence_length,4cm;40mm
72,Carex_ascotreta,maximum_inflorescence_width,4mm
73,Carex_ascotreta,maximum_leaf_width,4mm
74,Carex_ascotreta,maximum_plant_height,60cm
75,Carex_asperifructus,maximum_leaf_width,2mm
76,Carex_asperifructus,maximum_plant_height,20cm
77,Carex_atrata,maximum_inflorescence_length,15mm
78,Carex_atrata,maximum_inflorescence_width,6mm
79,Carex_atrata,maximum_leaf_width,5mm
80,Carex_atrata,maximum_plant_height,65cm
81,Carex_atrofusca,maximum_leaf_width,3mm;5mm
82,Carex_atrofusca,maximum_plant_height,70cm
83,Carex_atrofuscoides,maximum_inflorescence_length,1.5cm
84,Carex_atrofuscoides,maximum_inflorescence_width,1.2cm
85,Carex_atrofuscoides,maximum_leaf_width,4mm
