,species_name,coded_property_name,collapsed_data
0,Carex_adrienii,maximum_leaf_width,"2cm,3cm"
1,Carex_adrienii,maximum_plant_height,"30cm,50cm"
2,Carex_aequialta,maximum_leaf_width,"3mm,4mm"
3,Carex_aequialta,maximum_plant_height,";30cm,60cm"
4,Carex_agglomerata,maximum_leaf_width,"2mm,6mm"
5,Carex_agglomerata,maximum_plant_height,";20cm,60cm;"
6,Carex_alajica,maximum_leaf_width,"1.5mm,2.5mm"
7,Carex_alajica,maximum_plant_height,";15cm,25cm"
8,Carex_alba,maximum_leaf_width,
9,Carex_alba,maximum_plant_height,";15cm,30cm;"
10,Carex_alliiformis,maximum_leaf_width,"7mm,14mm"
11,Carex_alliiformis,maximum_plant_height,";25cm,45cm"
12,Carex_alopecuroides,maximum_leaf_width,"2mm,4mm"
13,Carex_alopecuroides,maximum_plant_height,";30cm,60cm"
14,Carex_alta,maximum_leaf_width,"2mm,3mm"
15,Carex_alta,maximum_plant_height,";40cm,80cm"
16,Carex_altaica,maximum_leaf_width,"3mm,4mm"
17,Carex_altaica,maximum_plant_height,";15cm,30cm;1mm,1.5mm"
18,Carex_amgunensis,maximum_leaf_width,"1mm,2mm"
19,Carex_amgunensis,maximum_plant_height,";15cm,35cm;"
20,Carex_angarae,maximum_leaf_width,"2mm,3mm"
21,Carex_angarae,maximum_plant_height,";30cm,60cm;"
22,Carex_angustiutricula,maximum_leaf_width,"3mm,6mm"
23,Carex_angustiutricula,maximum_plant_height,"30cm,35cm"
24,Carex_anningensis,maximum_leaf_width,
25,Carex_anningensis,maximum_plant_height,";25cm,30cm;;"
26,Carex_anomoea,maximum_leaf_width,
27,Carex_anomoea,maximum_plant_height,"22cm,55cm"
28,Carex_aperta,maximum_leaf_width,
29,Carex_aperta,maximum_plant_height,";60cm,70cm"
30,Carex_aphanolepis,maximum_leaf_width,"3mm,8mm"
31,Carex_aphanolepis,maximum_plant_height,";15cm,30cm;"
32,Carex_appendiculata,maximum_leaf_width,
33,Carex_appendiculata,maximum_plant_height,";30cm,75cm;"
34,Carex_arcatica,maximum_leaf_width,"2mm,3mm"
35,Carex_arcatica,maximum_plant_height,";20cm,50cm;"
36,Carex_argunensis,maximum_inflorescence_length,"1.5cm,2cm"
37,Carex_argunensis,maximum_inflorescence_width,
38,Carex_argunensis,maximum_leaf_width,"2mm,3mm"
39,Carex_argunensis,maximum_plant_height,";10cm,25cm"
40,Carex_argyi,maximum_leaf_width,"3mm,4mm"
41,Carex_argyi,maximum_plant_height,";30cm,60cm"
42,Carex_aridula,maximum_leaf_width,"1mm,1.5mm"
43,Carex_aridula,maximum_plant_height,";5cm,20cm;"
44,Carex_arisanensis,maximum_leaf_width,"4mm,8mm;4mm,8mm;12mm,18mm"
