,property_name,from,to
0,rhizome_width,,
1,culm_external_texture_or_habit,,
2,culm_orientation,,
3,culm_fragility,,
4,culm_length,30cm,100cm
5,culm_width,0.3cm,0.5cm
6,culm_shape,,
7,culm_architecture_or_external_texture_or_relief,,
8,leaf_position,,
9,leaf_position,,
10,leaf_arrangement_or_shape,,
11,leaf_width,2cm,2.5cm
12,leaf_external_texture,,
13,leaf_relief,,
14,sheath_coloration,,
15,sheath_feature,,
16,bract_architecture,,
17,bract_length,,
18,bract_architecture_or_feature,,
19,panicle_architecture,,
20,panicle_architecture,,
21,panicle_size,25cm,30cm
22,panicle_architecture,,
23,branch_count,,
24,branch_shape,,
25,branch_length,4cm,10cm
26,branch_width,2cm,6cm
27,branch_count,,
28,peduncle_internal_texture,,
29,peduncle_position,,
30,peduncle_external_texture,,
31,peduncle_shape,,
32,lowest_size,10cm,20cm
33,lowest_position,,
34,lowest_height_or_length,,
35,axis_shape,,
36,axis_external_texture,,
37,bractlet_feature,,
38,bractlet_size,1mm,1.5mm
39,bractlet_external_texture,,
40,awn_size,2mm,5mm
41,cladoprophyll_external_texture,,
42,spike_feature,,
43,spike_count,,
44,spike_reproduction,,
45,spike_feature_or_reproduction,,
46,spike_orientation,,
47,spike_size,7mm,18mm
48,spike_feature_or_reproduction,,
49,spike_length,6mm,7mm
50,spike_width,2mm,3mm
51,spike_length,,
52,spike_reproduction,,
53,spike_arrangement_or_shape,,
54,spike_count,,
55,spike_architecture,,
56,glume_coloration,,
57,glume_coloration,,
58,glume_shape,,
59,glume_size,6mm,7mm
60,glume_feature,,
61,glume_external_texture,,
62,apex_shape,,
63,glume_coloration,,
64,glume_coloration,,
65,glume_coloration,,
66,glume_shape,,
67,glume_size,4.5mm,5.5mm
68,glume_feature,,
69,glume_external_texture,,
70,awn_relief,,
71,apex_shape,,
72,apex_shape,,
73,utricle_coloration,,
74,utricle_coloration,,
75,utricle_height_or_length,,
76,utricle_shape,,
77,utricle_size,5.5mm,10mm
78,utricle_external_texture,,
79,utricle_count,,
80,utricle_architecture_or_feature,,
81,base_architecture,,
82,apex_shape,,
83,beak_length,0,2/3
84,orifice_shape,,
85,nutlet_coloration,,
86,"nutlet_maturity , elliptic , trigonous ,",3mm,3.5mm
87,base_width,,
88,stigma_count,,
