,property_name,from,to,species_name,file_name,value
0,rhizome_internal_texture,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,woody
1,rhizome_internal_texture,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,rigid
2,culm_size,20cm,40cm,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,
3,culm_height,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,tall
4,culm_external_texture,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,glabrous
5,sheath_coloration,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,brown
6,sheath_dehiscence,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,disintegrating
7,blade_arrangement_or_shape,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,linear
8,blade_width,7mm,10mm,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,
9,apex_shape,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,acuminate
10,bract_architecture_or_feature_or_shape,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,sheathing
11,spike_count,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,3
12,spike_count,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,4
13,spike_arrangement,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,distant
14,spike_feature_or_reproduction,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,male
15,spike_shape,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,cylindric
16,spike_length,3cm,4.5cm,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,
17,spike_width,0.3cm,0.4cm,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,
18,spike_architecture,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,pedunculate
19,spike_feature_or_reproduction,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,androgynous
20,spike_feature_or_reproduction,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,male
21,spike_length,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,1/3
22,spike_shape,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,cylindric
23,spike_size,2.5cm,4.3cm,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,
24,spike_architecture,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,flowered
25,peduncle_architecture_or_external_texture_or_relief,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,smooth
26,glume_coloration,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,red-brown
27,glume_shape,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,ovate-lanceolate
28,margin_coloration,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,hyaline
29,margin_coloration,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,green
30,margin_architecture_or_feature,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,3-veined
31,margin_architecture,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,excurrent
32,utricle_coloration,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,green
33,utricle_length,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,longer
34,utricle_orientation,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,patent
35,utricle_arrangement_or_shape,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,elliptic
36,utricle_size,5mm,6mm,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,
37,utricle_feature,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,membranous
38,utricle_size,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,slender
39,utricle_external_texture,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,glabrous
40,utricle_count,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,many
41,utricle_architecture_or_feature,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,veined
42,base_shape,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,truncate
43,apex_size,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,contracted
44,beak_external_texture_or_relief,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,scabrous
45,beak_length,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,long
46,orifice_shape,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,2-toothed
47,nutlet_coloration,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,brown
48,nutlet_feature,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,enveloped
49,nutlet_shape,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,rhomboid
50,nutlet_shape,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,trigonous
51,nutlet_size,2.5mm,3mm,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,
52,nutlet_size,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,constricted
53,nutlet_shape,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,concave
54,base_course_or_orientation,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,curved
55,base_architecture,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,stipitate
56,apex_size,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,contracted
57,beak_course_or_orientation,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,curved
58,beak_size,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,1
59,base_width,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,thickened
60,stigma_count,,,Carex_yangshuoensis,../../data/external/FoCV23/1390.xml,3
0,rhizome_height_or_length,,,Carex_longerostrata,../../data/external/FoCV23/1384.xml,short
1,rhizome_orientation_or_shape,,,Carex_longerostrata,../../data/external/FoCV23/1384.xml,oblique
2,glume_shape,,,Carex_longerostrata,../../data/external/FoCV23/1384.xml,aristate
3,utricle_external_texture,,,Carex_longerostrata,../../data/external/FoCV23/1384.xml,hirsute
4,base_course_or_orientation,,,Carex_longerostrata,../../data/external/FoCV23/1384.xml,curved
0,rhizome_architecture,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,stoloniferous
1,rhizome_size,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,slender
2,culm_size,30cm,60cm,Carex_pilosa,../../data/external/FoCV23/1435.xml,
3,culm_height,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,tall
4,culm_shape,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,compressed trigonous
5,culm_external_texture,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,pilose
6,culm_external_texture,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,pilose
7,sheath_coloration,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,purple-red
8,leaf_height_or_length,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,shorter
9,blade_arrangement_or_shape,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,linear
10,blade_width,5mm,8mm,Carex_pilosa,../../data/external/FoCV23/1435.xml,
11,blade_external_texture,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,pilose
12,bract_architecture,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,leaflike
13,bract_external_texture,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,pilose
14,bract_height_or_length,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,shorter
15,bract_architecture_or_feature_or_shape,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,sheathing
16,bract_size,2cm,5cm,Carex_pilosa,../../data/external/FoCV23/1435.xml,
17,spike_count,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,3
18,spike_count,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,4
19,spike_arrangement,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,distant
20,spike_feature_or_reproduction,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,male
21,spike_shape,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,oblong
22,spike_shape,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,linear-clavate
23,spike_size,2cm,3cm,Carex_pilosa,../../data/external/FoCV23/1435.xml,
24,peduncle_length,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,long
25,spike_reproduction,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,female
26,spike_shape,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,cylindric
27,spike_size,2cm,4cm,Carex_pilosa,../../data/external/FoCV23/1435.xml,
28,spike_architecture,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,8-12-flowered
29,peduncle_architecture_or_external_texture_or_relief,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,smooth
30,lowest_size,0cm,12cm,Carex_pilosa,../../data/external/FoCV23/1435.xml,
31,glume_coloration,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,purple
32,glume_coloration,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,purple
33,glume_shape,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,ovate
34,glume_shape,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,elliptic
35,glume_coloration,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,green
36,glume_architecture_or_feature,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,3-veined
37,glume_architecture,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,excurrent
38,apex_shape,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,obtuse
39,utricle_coloration,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,green
40,utricle_coloration,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,yellow
41,utricle_length,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,longer
42,utricle_shape,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,ovate
43,utricle_shape,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,subelliptic
44,utricle_shape,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,swollen trigonous
45,utricle_size,4mm,5mm,Carex_pilosa,../../data/external/FoCV23/1435.xml,
46,utricle_feature,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,membranous
47,utricle_external_texture,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,glabrous
48,utricle_external_texture,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,pilose
49,utricle_count,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,many
50,utricle_architecture_or_feature,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,veined
51,base_size,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,contracted
52,stipe_height_or_length,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,short
53,apex_size,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,contracted
54,beak_length,,,Carex_pilosa,../../data/external/FoCV23/1435.xml,long
