,property_name,species_name,coded_property_name,property_constraint,from,to,value,atypical
0,blade_size,Trichophorum_pumilum,leaf_width,leaf,0.7cm,1.6cm,,
1,blade_size,Trichophorum_pumilum,leaf_width,leaf,,,slender,
2,blade_size,Carex_cardiolepis,leaf_width,,1mm,2mm,,
3,blade_size,Carex_grandiligulata,leaf_width,involucral bract,0mm,2mm,,
4,blade_size,Carex_siderosticta,leaf_width,,5mm,10mm,,
5,blade_size,Kobresia_prainii,leaf_width,,,,0.5,
6,blade_size,Eriophorum_angustifolium,leaf_width,leaflike,0cm,12cm,,
7,blade_size,Trichophorum_distigmaticum,leaf_width,leaf,0cm,1.8cm,,
8,blade_size,Carex_sagaensis,leaf_width,,,,1,
9,blade_size,Carex_latisquamea,leaf_width,,3mm,6mm,,
10,blade_size,Trichophorum_subcapitatum,leaf_width,leaf,0.5cm,1.5cm,,
11,blade_size,Carex_vaginata,leaf_width,,3mm,5mm,,
12,blade_size,Trichophorum_mattfeldianum,leaf_width,leaf,3mm,12mm,,
13,blade_size,Trichophorum_mattfeldianum,leaf_width,leaf,1cm,20cm,,
14,blade_size,Carex_thibetica,leaf_width,leaf,,,5,
15,blade_width,Carex_yangshuoensis,leaf_width,,7mm,10mm,,
16,blade_width,Carex_pilosa,leaf_width,,5mm,8mm,,
17,blade_width,Carex_radicina,leaf_width,,6mm,8mm,,
18,blade_width,Carex_agglomerata,leaf_width,,2mm,6mm,,
19,blade_width,Carex_saxicola,leaf_width,,8mm,10mm,,
20,blade_width,Carex_hastata,leaf_width,,4mm,6mm,,
21,blade_width,Carex_chiwuana,leaf_width,,3mm,5mm,,
22,blade_width,Carex_macrosandra,leaf_width,,3mm,5mm,,
23,blade_width,Carex_leiorhyncha,leaf_width,,3mm,5mm,,
24,blade_width,Carex_gynocrates,leaf_width,,,,0.5,
25,blade_width,Carex_capilliformis,leaf_width,,0.5mm,3mm,,
26,blade_width,Carex_yuexiensis,leaf_width,,0.5mm,1.5mm,,
27,blade_width,Scirpus_orientalis,leaf_width,leaf,4mm,15mm,,
28,blade_width,Carex_sendaica,leaf_width,,2mm,3mm,,
29,blade_width,Kobresia_squamiformis,leaf_width,,,,0.5,
30,blade_width,Carex_glossostigma,leaf_width,,1cm,2.5cm,,
31,blade_width,Carex_aequialta,leaf_width,,3mm,4mm,,
32,blade_width,Kobresia_fragilis,leaf_width,,1mm,2mm,,
33,blade_width,Carex_teinogyna,leaf_width,,2.5mm,3mm,,
34,blade_width,Kobresia_loliacea,leaf_width,,1.5mm,2mm,,
35,blade_width,Kobresia_yadongensis,leaf_width,,,,0.8,
36,blade_width,Carex_jizhuangensis,leaf_width,,2mm,3mm,,
37,blade_width,Carex_wuyishanensis,leaf_width,,5mm,7mm,,
38,blade_width,Kobresia_vaginosa,leaf_width,,,,0.5,
39,blade_width,Carex_ereica,leaf_width,,5mm,8mm,,
40,blade_width,Scirpus_radicans,leaf_width,leaf,7mm,10mm,,
41,blade_width,Carex_qiyunensis,leaf_width,,2mm,3mm,,
42,blade_width,Carex_kiangsuensis,leaf_width,,2mm,3mm,,
43,blade_width,Carex_shuchengensis,leaf_width,,6mm,10mm,,
44,blade_width,Carex_longqishanensis,leaf_width,,7mm,8mm,,
45,blade_width,Carex_harrysmithii,leaf_width,,1mm,2mm,,
46,blade_width,Carex_cheniana,leaf_width,,5mm,9mm,,
47,blade_width,Carex_hypoblephara,leaf_width,,,,10,
48,blade_width,Carex_aphanolepis,leaf_width,,3mm,8mm,,
49,blade_width,Carex_oxyphylla,leaf_width,,2mm,4mm,,
50,blade_width,Carex_manca,leaf_width,,2mm,10mm,,
51,blade_width,Carex_lianchengensis,leaf_width,,1.5mm,2.5mm,,
52,blade_width,Carex_pseudodispalata,leaf_width,,4mm,8mm,,
53,blade_width,Carex_xiangxiensis,leaf_width,,0mm,17mm,,
54,blade_width,Carex_meihsienica,leaf_width,,3mm,4mm,,
55,blade_width,Carex_huolushanensis,leaf_width,,1mm,3mm,,
56,blade_width,Carex_polyschoenoides,leaf_width,,2mm,3mm,,
57,blade_width,Carex_courtallensis,leaf_width,,0.8cm,2cm,,
58,blade_width,Carex_stipitiutriculata,leaf_width,,,,0.5,
59,blade_width,Carex_kwangsiensis,leaf_width,leaf,5mm,7mm,,
60,blade_width,Carex_gongshanensis,leaf_width,,2mm,3mm,,
61,blade_width,Kobresia_woodii,leaf_width,,,,1.5,
62,blade_width,Carex_wawuensis,leaf_width,,5mm,6mm,,
63,blade_width,Carex_insignis,leaf_width,,4mm,5mm,,
64,blade_width,Carex_grandiligulata,leaf_width,,2.5mm,4mm,,
65,blade_width,Carex_heterolepis,leaf_width,,3mm,6mm,,
66,blade_width,Kobresia_curticeps,leaf_width,,3.7mm,5mm,,atypical
